id_turma,formato,curso,carga_horaria,municipio,tipo_unidade,modalidade,executora,vagas_disponiveis,data_inicio,status,ra_executora,ra_unidade
Turma-02544,Presencial,Operador de Caixa,60,Pindamonhangaba,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02543,Presencial,Culinária Básica,60,Francisco Morato,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02542,Presencial,Pizzaiolo*,80,Francisco Morato,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02541,Presencial,Assistente Administrativo,60,Cajamar,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02540,Presencial,Assistente de Cabeleireiro,80,Francisco Morato,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-07-14 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02539,Presencial,Manicure e pedicure,80,Francisco Morato,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-07-14 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02538,Presencial,Operador de Caixa,60,Andradina,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Araçatuba
Turma-02537,Presencial,Recepção e Atendimento,60,Andradina,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Araçatuba
Turma-02536,Presencial,Porteiro e Controlador de Acesso,60,Caçapava,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02535,Presencial,Tratorista,80,Caçapava,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02534,Presencial,TÉCNICAS DE VENDAS,60,Ferraz de Vasconcelos,Unidade de Ensino,MEU PRIMEIRO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 08:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02533,Presencial,Auxiliar de Logística,60,Getulina,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de Bauru
Turma-02532,Presencial,Salgadeiro,60,Ferraz de Vasconcelos,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Metropolitana de São Paulo
Turma-02531,Presencial,Ajudante de Cozinha,60,Areias,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 13:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
Turma-02530,Presencial,Panificação,60,Areias,Unidade de Ensino,NOVO EMPREGO,UFIEC - CENTRO PAULA SOUZA,20,2025-06-30 18:00:00,Aberta para Inscrições,Região Metropolitana de São Paulo,Região Administrativa de São José dos Campos
